Date,CampaignName,Channel,Spend,Impressions,Clicks,Conversions,Revenue
2023-10-01,Fall_Sale_Promo,Facebook Ads,50,5000,250,10,250
2023-10-01,Brand_Awareness_Q4,Google Ads,75,10000,300,5,150
2023-10-01,Newsletter_Oct,Email,10,2000,200,15,450
2023-10-02,Fall_Sale_Promo,Facebook Ads,55,5200,260,12,300
2023-10-02,Brand_Awareness_Q4,Google Ads,80,11000,320,6,180
2023-10-02,Newsletter_Oct,Email,10,2100,220,16,480
2023-10-03,Fall_Sale_Promo,Facebook Ads,60,5500,280,11,275
2023-10-03,Brand_Awareness_Q4,Google Ads,70,9500,290,4,120
2023-10-03,Newsletter_Oct,Email,12,2200,230,18,540
2023-11-01,Holiday_Early_Bird,Facebook Ads,100,8000,400,20,600
2023-11-01,Search_Generic_Terms,Google Ads,120,15000,450,15,500
2023-11-01,Black_Friday_Teaser,Email,20,3000,300,25,750
2023-11-02,Holiday_Early_Bird,Facebook Ads,110,8500,420,22,660
2023-11-02,Search_Generic_Terms,Google Ads,130,16000,470,16,530
2023-11-02,Black_Friday_Teaser,Email,22,3100,310,26,780
2023-11-03,Holiday_Early_Bird,Facebook Ads,105,8200,410,21,630
2023-11-03,Search_Generic_Terms,Google Ads,125,15500,460,14,480
2023-11-03,Black_Friday_Teaser,Email,20,3050,305,28,840
2023-12-01,Last_Minute_Gifts,Facebook Ads,150,10000,500,30,900
2023-12-01,Search_Holiday_Deals,Google Ads,180,20000,600,25,800
2023-12-01,Holiday_Recap,Email,30,4000,400,40,1200
2023-12-02,Last_Minute_Gifts,Facebook Ads,160,11000,520,33,990
2023-12-02,Search_Holiday_Deals,Google Ads,190,21000,620,27,850
2023-12-02,Holiday_Recap,Email,32,4100,410,42,1260
2023-12-03,Last_Minute_Gifts,Facebook Ads,155,10500,510,31,930
2023-12-03,Search_Holiday_Deals,Google Ads,185,20500,610,26,820
2023-12-03,Holiday_Recap,Email,30,4050,405,41,1230
2024-01-01,New_Year_Resolution,Facebook Ads,80,6000,300,15,300
2024-01-01,Search_Fitness_Gear,Google Ads,100,12000,400,10,250
2024-01-01,Jan_Clearance,Email,15,2500,250,20,400
2024-01-02,New_Year_Resolution,Facebook Ads,85,6200,310,16,320
2024-01-02,Search_Fitness_Gear,Google Ads,105,12500,410,11,275
2024-01-02,Jan_Clearance,Email,16,2600,260,22,440
2024-01-03,New_Year_Resolution,Facebook Ads,90,6500,320,18,360
2024-01-03,Search_Fitness_Gear,Google Ads,110,13000,420,12,300
2024-01-03,Jan_Clearance,Email,15,2550,255,21,420
2024-02-01,Valentines_Day_Promo,Facebook Ads,90,7000,350,25,625
2024-02-01,Search_Gift_Ideas,Google Ads,110,14000,450,18,540
2024-02-01,Feb_Newsletter,Email,18,2800,280,30,750
2024-02-02,Valentines_Day_Promo,Facebook Ads,95,7200,360,26,650
2024-02-02,Search_Gift_Ideas,Google Ads,115,14500,460,19,570
2024-02-02,Feb_Newsletter,Email,20,2900,290,32,800
2024-02-03,Valentines_Day_Promo,Facebook Ads,100,7500,370,28,700
2024-02-03,Search_Gift_Ideas,Google Ads,120,15000,470,20,600
2024-02-03,Feb_Newsletter,Email,19,2850,285,31,775
2024-03-01,Spring_Refresh,Facebook Ads,70,5500,280,14,350
2024-03-01,Search_Outdoor_Gear,Google Ads,90,11000,380,12,360
2024-03-01,March_Madness_Deals,Email,14,2400,240,18,500
2024-03-02,Spring_Refresh,Facebook Ads,75,5700,290,15,375
2024-03-02,Search_Outdoor_Gear,Google Ads,95,11500,390,13,390
2024-03-02,March_Madness_Deals,Email,15,2450,245,19,525
2024-03-03,Spring_Refresh,Facebook Ads,80,6000,300,16,400
2024-03-03,Search_Outdoor_Gear,Google Ads,100,12000,400,14,420
2024-03-03,March_Madness_Deals,Email,14,2420,242,20,550
